benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1,accuracy,sae_type,l0_target,k,widths,max_iterations,l1_coefficient
CORRELATED_PAIRS,Standard_0,0,8.01035,1.99939,0.0,0.7943695538898097,0.2685271661498501,0.5736737847328186,0.529320987654321,0.9584832787513732,0.2536621391773224,0.3544075787067413,0.9676392078399658,Standard,2.0,,,,
CORRELATED_PAIRS,Standard_1,0,7.99583,2.99491,0.0,0.3987221423244579,0.379675348718033,0.5887359976768494,0.5540123456790124,0.9535064697265624,0.3401589691638946,0.4425178468227386,0.9674888849258424,Standard,3.0,,,,
CORRELATED_PAIRS,Standard_2,0,8.03188,4.00206,0.0,0.5199999482231438,0.4692507860715438,0.6113985180854797,0.5725308641975309,0.9425811767578124,0.4157542586326599,0.5159910917282104,0.9707225561141968,Standard,4.0,,,,
CORRELATED_PAIRS,Standard_3,0,8.01964,4.97993,0.0,0.5526368609702205,0.5463923807371012,0.6148022413253784,0.5740740740740741,0.9307646751403807,0.4740260541439056,0.5610333681106567,0.9712501764297484,Standard,5.0,,,,
CORRELATED_PAIRS,Standard_4,0,8.03361,6.00927,0.0,1.0545894495873411,0.6118917564172415,0.6357332468032837,0.6064814814814815,0.8952891230583191,0.5478057861328125,0.6139838099479675,0.9757271409034728,Standard,6.0,,,,
CORRELATED_PAIRS,Standard_5,0,8.03943,7.02324,0.0,0.6269636202930866,0.6597782740936216,0.6593948602676392,0.6481481481481481,0.852371096611023,0.605780839920044,0.6446155309677124,0.9776257872581482,Standard,7.0,,,,
CORRELATED_PAIRS,Standard_6,0,8.02974,7.9808,0.0,0.671686257405362,0.7043081507776467,0.6764967441558838,0.6898148148148148,0.7670736908912659,0.6545736789703369,0.6318528652191162,0.9787391424179076,Standard,8.0,,,,
CORRELATED_PAIRS,Standard_7,0,8.04242,9.01458,0.0,0.7913525857999457,0.7596521506424179,0.7239726781845093,0.7746913580246914,0.6650621294975281,0.7277244329452515,0.6204642057418823,0.9824666976928712,Standard,9.0,,,,
CORRELATED_PAIRS,Standard_8,0,8.039,9.9977,0.0,1.2416625813506212,0.787696916021255,0.7387360334396362,0.808641975308642,0.6115079522132874,0.7555803060531616,0.6024875640869141,0.9823662042617798,Standard,10.0,,,,
CORRELATED_PAIRS,Standard_9,0,8.03675,11.02302,0.0,0.7710674633257357,0.8075941046574462,0.7485436201095581,0.8364197530864198,0.5545341372489929,0.7840989232063293,0.5787652134895325,0.9830982685089112,Standard,11.0,,,,
