benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,l1_coefficient
CORRELATED_PAIRS,Standard_0,0,8.02853,13.36152,0,0.746251220850239,0.7729621206789614,0.7204514741897583,0.7916666666666666,0.666492760181427,0.7801704406738281,0.6679730415344238,0.9822502732276917,Standard,0.3
CORRELATED_PAIRS,Standard_1,0,8.02986,12.86727,0,0.6990782255594936,0.7335845449681381,0.6867755651473999,0.7299382716049383,0.7350196838378906,0.7339341640472412,0.680522620677948,0.977550745010376,Standard,0.35
CORRELATED_PAIRS,Standard_10,0,8.04624,3.88223,0,0.5355831449965365,0.4933656337490754,0.7577804923057556,0.7623456790123457,0.9630590081214905,0.5509983897209167,0.6790931224822998,0.9894066452980042,Standard,0.88
CORRELATED_PAIRS,Standard_11,0,8.02154,3.13422,0,0.917556807909037,0.4542982285419016,0.7872299551963806,0.8564814814814815,0.9489496350288391,0.5815680027008057,0.7061451077461243,0.9937850832939148,Standard,0.96
CORRELATED_PAIRS,Standard_12,0,8.02384,2.4986,0,0.9458960338830781,0.37655880508415684,0.7821827530860901,0.8580246913580247,0.9516040086746216,0.5466000437736511,0.6792518496513367,0.9955005645751953,Standard,1.05
CORRELATED_PAIRS,Standard_13,0,8.02416,2.26549,1,0.8459942662737933,0.3621378659662905,0.7917134761810303,0.9104938271604939,0.9471635222434998,0.5466092228889465,0.6816353797912598,0.9952676296234131,Standard,1.15
CORRELATED_PAIRS,Standard_14,0,8.00961,1.98239,5,1.7784054672277685,0.313204667114649,0.7899810671806335,0.9243827160493827,0.9486420154571533,0.49377545714378357,0.6379649043083191,0.9954935908317566,Standard,1.3
CORRELATED_PAIRS,Standard_15,0,8.03394,1.31304,48,0.39842698582878033,0.2120209777042904,0.7306145429611206,0.8564814814814815,0.8870589733123779,0.3698904812335968,0.5079895257949829,0.9948873519897461,Standard,1.5
CORRELATED_PAIRS,Standard_2,0,8.02961,11.46542,0,0.7130936003133065,0.699184468026262,0.6655998229980469,0.6805555555555556,0.7877588272094727,0.6881077289581299,0.6787803173065186,0.9751806259155273,Standard,0.4
CORRELATED_PAIRS,Standard_3,0,8.02149,10.73733,0,0.6838102409638555,0.6559566757343915,0.6210795044898987,0.6018518518518519,0.835034191608429,0.6278283596038818,0.6551194787025452,0.9710960984230042,Standard,0.45
