benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,max_iterations
CORRELATED_PAIRS,MatchingPursuit_0,0,8.02959,1.9974,0,0.823366301122614,0.574826105632,0.7665116786956787,0.9537037037037037,0.9328556656837463,0.4222988486289978,0.5696260929107666,0.9881681203842163,MatchingPursuit,2
CORRELATED_PAIRS,MatchingPursuit_1,0,8.03041,2.99353,0,0.9307213134618475,0.7022403349837743,0.7915056347846985,0.9552469135802469,0.871955394744873,0.5654668211936951,0.6707053184509277,0.9893296957015991,MatchingPursuit,3
CORRELATED_PAIRS,MatchingPursuit_2,0,8.01981,3.98489,0,0.9066275041421901,0.779158867461699,0.8010181188583374,0.9521604938271605,0.8072046637535095,0.6773512363433838,0.7139108180999756,0.989372730255127,MatchingPursuit,4
CORRELATED_PAIRS,MatchingPursuit_3,0,8.00615,4.95877,0,0.9551690287112102,0.8242397280734644,0.808728814125061,0.9583333333333334,0.7314786314964294,0.7477940917015076,0.709269106388092,0.9895626306533813,MatchingPursuit,5
CORRELATED_PAIRS,MatchingPursuit_4,0,8.04901,5.88768,0,0.9738905208500642,0.8493866165812396,0.8028338551521301,0.9521604938271605,0.6565070152282715,0.7994362115859985,0.6832951903343201,0.9870975613594055,MatchingPursuit,6
CORRELATED_PAIRS,MatchingPursuit_5,0,8.013,6.75151,0,0.9471730226414337,0.8700961635145937,0.812364935874939,0.9629629629629629,0.6181419491767883,0.8457323908805847,0.6785240769386292,0.9895380139350891,MatchingPursuit,7
CORRELATED_PAIRS,MatchingPursuit_6,0,8.04117,7.61605,0,0.9441270474927942,0.8825370542118857,0.8126876354217529,0.9675925925925926,0.572409987449646,0.8715464472770691,0.6564058065414429,0.9889792799949646,MatchingPursuit,8
CORRELATED_PAIRS,MatchingPursuit_7,0,8.0517,8.55304,0,0.9476508692094536,0.8882936270029209,0.8029286861419678,0.9598765432098766,0.5247669219970703,0.8775752782821655,0.6098372936248779,0.9854943752288818,MatchingPursuit,9
CORRELATED_PAIRS,MatchingPursuit_8,0,8.02751,9.3894,0,0.966400724694099,0.899237973016883,0.8123098611831665,0.9753086419753086,0.4938882291316986,0.8995041251182556,0.600727379322052,0.9885046482086182,MatchingPursuit,10
CORRELATED_PAIRS,MatchingPursuit_9,0,8.04412,10.27001,0,0.9725776064625611,0.9038977097721446,0.8125962018966675,0.9722222222222222,0.4605712294578552,0.9037322998046875,0.5709332823753357,0.9880794882774353,MatchingPursuit,11
DAG_RANDOM_WALK,MatchingPursuit_0,0,8.06071,2.0,0,0.7694659375,0.5707520110415549,0.8711356520652771,0.9490740740740741,0.9427843689918518,0.4328390657901764,0.5782585144042969,0.9928067922592163,MatchingPursuit,2
DAG_RANDOM_WALK,MatchingPursuit_1,0,8.04908,2.99951,0,0.82689953125,0.6669553800894139,0.8863831758499146,0.9429012345679012,0.8805407285690308,0.5951874852180481,0.6885845065116882,0.993890643119812,MatchingPursuit,3
DAG_RANDOM_WALK,MatchingPursuit_2,0,8.06111,3.99326,0,0.8591178125,0.7259503378765898,0.9026615619659424,0.9583333333333334,0.8110671639442444,0.7037438154220581,0.7269315123558044,0.9941509962081909,MatchingPursuit,4
DAG_RANDOM_WALK,MatchingPursuit_3,0,8.0503,4.97513,0,0.877833828125,0.7623300677508682,0.9058933854103088,0.9583333333333334,0.7366554141044617,0.7696722745895386,0.7180886268615723,0.9937914609909058,MatchingPursuit,5
DAG_RANDOM_WALK,MatchingPursuit_4,0,8.05466,5.93559,0,0.889982734375,0.7862792860007239,0.8933515548706055,0.970679012345679,0.6627058982849121,0.8153957724571228,0.6940855383872986,0.9935600161552429,MatchingPursuit,6
DAG_RANDOM_WALK,MatchingPursuit_5,0,8.05544,6.87962,0,0.89804640625,0.8019712577625617,0.885332465171814,0.9753086419753086,0.6132543087005615,0.8406487107276917,0.6679766774177551,0.9928125739097595,MatchingPursuit,7
DAG_RANDOM_WALK,MatchingPursuit_6,0,8.07236,7.81472,0,0.9049228125,0.8141097092933149,0.8697658777236938,0.9691358024691358,0.5706884860992432,0.8448867797851562,0.6303597092628479,0.9914021492004395,MatchingPursuit,8
DAG_RANDOM_WALK,MatchingPursuit_7,0,8.06697,8.67625,0,0.910296875,0.8237325157897377,0.8588581681251526,0.9768518518518519,0.5400086641311646,0.8555809259414673,0.6071775555610657,0.9904597997665405,MatchingPursuit,9
DAG_RANDOM_WALK,MatchingPursuit_8,0,8.06001,9.5041,0,0.9140675,0.8318346417117711,0.835521936416626,0.9722222222222222,0.49594491720199585,0.8557211756706238,0.5701982378959656,0.9891935586929321,MatchingPursuit,10
DAG_RANDOM_WALK,MatchingPursuit_9,0,8.05006,10.39567,0,0.918209765625,0.8395983684193373,0.8273733854293823,0.9768518518518519,0.4706845283508301,0.8616787791252136,0.5482114553451538,0.9880672693252563,MatchingPursuit,11
HIERARCHICAL_PAIRS,MatchingPursuit_0,0,8.00812,1.99495,0,0.8977177779200691,0.6273382831082134,0.7869847416877747,0.941358024691358,0.9753057360649109,0.404096394777298,0.56452876329422,0.9893177151679993,MatchingPursuit,2
HIERARCHICAL_PAIRS,MatchingPursuit_1,0,8.01479,2.98498,0,0.8924901948348789,0.7543846458933561,0.8103883862495422,0.9212962962962963,0.9351695775985718,0.5463669896125793,0.675530731678009,0.9877039790153503,MatchingPursuit,3
HIERARCHICAL_PAIRS,MatchingPursuit_2,0,7.99983,3.96935,0,0.9237587060991654,0.8282336540597603,0.8283433318138123,0.9475308641975309,0.8702185153961182,0.6815213561058044,0.7486018538475037,0.9894060492515564,MatchingPursuit,4
HIERARCHICAL_PAIRS,MatchingPursuit_3,0,7.99077,4.9398,0,0.9707727974785273,0.8706668518022409,0.8253703117370605,0.9444444444444444,0.7904221415519714,0.7545896768569946,0.7466505765914917,0.988998293876648,MatchingPursuit,5
HIERARCHICAL_PAIRS,MatchingPursuit_4,0,8.02936,5.88352,0,0.9747227422852209,0.8919308781781348,0.8227968811988831,0.9429012345679012,0.715976357460022,0.7975667119026184,0.723580002784729,0.987769603729248,MatchingPursuit,6
HIERARCHICAL_PAIRS,MatchingPursuit_5,0,7.99049,6.7883,0,1.0325239708394032,0.9060548584150746,0.8193174600601196,0.9459876543209876,0.6852396130561829,0.8242232799530029,0.7137677669525146,0.9878658652305603,MatchingPursuit,7
HIERARCHICAL_PAIRS,MatchingPursuit_6,0,8.017,7.70665,0,0.9590631778061173,0.9150628160725421,0.817388117313385,0.9521604938271605,0.6680092811584473,0.8507702946662903,0.7127448320388794,0.9876256585121155,MatchingPursuit,8
HIERARCHICAL_PAIRS,MatchingPursuit_7,0,8.03385,8.6504,0,0.9966393309862692,0.9225050196988854,0.8143410682678223,0.9583333333333334,0.6244954466819763,0.8659467101097107,0.6851480007171631,0.9852486848831177,MatchingPursuit,9
HIERARCHICAL_PAIRS,MatchingPursuit_8,0,8.00637,9.50074,0,0.9984966935735023,0.9295157348537884,0.8182232975959778,0.9598765432098766,0.5919554233551025,0.8757150769233704,0.6698081493377686,0.9873470067977905,MatchingPursuit,10
HIERARCHICAL_PAIRS,MatchingPursuit_9,0,8.03194,10.30918,0,0.9967712843165815,0.9330848964180196,0.8099378347396851,0.9614197530864198,0.5439032316207886,0.8833717107772827,0.6303043365478516,0.9858330488204956,MatchingPursuit,11
POWER_LAW_DIGRAPH,MatchingPursuit_0,0,7.93387,2.0,0,0.7053658248287182,0.4510859922172342,0.9078998565673828,0.9984567901234568,0.8856450915336609,0.3877883851528168,0.5323306322097778,0.9950443506240845,MatchingPursuit,2
POWER_LAW_DIGRAPH,MatchingPursuit_1,0,7.97634,2.99931,0,0.7666856403169103,0.5501416044969151,0.9386804103851318,1.0,0.8395876288414001,0.5082584619522095,0.6274291276931763,0.9953576326370239,MatchingPursuit,3
POWER_LAW_DIGRAPH,MatchingPursuit_2,0,7.94993,3.99535,0,0.7988229122099301,0.6173182875031517,0.9409234523773193,0.9984567901234568,0.7756050229072571,0.6106739640235901,0.6776368618011475,0.9954743385314941,MatchingPursuit,4
POWER_LAW_DIGRAPH,MatchingPursuit_3,0,7.94303,4.98409,0,0.8196370980068476,0.6628547624006782,0.9405099153518677,1.0,0.7137041687965393,0.691763699054718,0.6951674818992615,0.9952503442764282,MatchingPursuit,5
POWER_LAW_DIGRAPH,MatchingPursuit_4,0,7.95994,5.97042,0,0.8366198241431307,0.6934479575966774,0.930679976940155,1.0,0.6488277912139893,0.7454603910446167,0.6852285861968994,0.9946089386940002,MatchingPursuit,6
POWER_LAW_DIGRAPH,MatchingPursuit_5,0,7.95533,6.95467,0,0.8461730397851763,0.7163221295980308,0.9196545481681824,1.0,0.5919443964958191,0.786389172077179,0.666271448135376,0.9937639832496643,MatchingPursuit,7
POWER_LAW_DIGRAPH,MatchingPursuit_6,0,7.98995,7.92741,0,0.8500479437053035,0.7338787183178126,0.9097804427146912,1.0,0.5417324304580688,0.814318835735321,0.6405589580535889,0.9927335381507874,MatchingPursuit,8
